game,p0_delta,p0_fold_rate,p0_call_rate,p0_raise_rate,p0_actor_loss,p0_critic_loss,p0_sl_loss,p0_reservoir,p1_delta,p1_fold_rate,p1_call_rate,p1_raise_rate,p1_actor_loss,p1_critic_loss,p1_sl_loss,p1_reservoir,p2_delta,p2_fold_rate,p2_call_rate,p2_raise_rate,p2_actor_loss,p2_critic_loss,p2_sl_loss,p2_reservoir,p3_delta,p3_fold_rate,p3_call_rate,p3_raise_rate,p3_actor_loss,p3_critic_loss,p3_sl_loss,p3_reservoir
441,30000,0.15,0.157,0.675,-0.0021,3489.1335,0.8149,154,-10000,0.181,0.059,0.755,0.0297,467.404,0.6048,100,-10000,0.074,0.178,0.716,-0.038,0.1662,0.7552,221,-10000,0.0,0.333,0.667,-5.0793,97.7147,1.0746,220
442,-10000,0.15,0.157,0.674,-0.0021,3489.1335,0.8149,154,-10000,0.177,0.064,0.754,-0.0157,26.2859,0.8282,108,-10000,0.074,0.177,0.717,0.1124,1367.6388,0.7552,226,30000,0.231,0.0,0.769,-5.0793,97.7147,1.0746,220
443,30000,0.148,0.157,0.677,-0.0802,74.8515,0.724,158,-10000,0.177,0.067,0.751,-0.2015,456.7025,1.2067,113,-10000,0.231,0.0,0.769,0.1124,1367.6388,0.7552,226,-10000,0.181,0.092,0.708,-0.0368,523.0734,1.0857,222
444,-10000,0.148,0.157,0.678,-0.0802,74.8515,0.724,158,-10000,0.24,0.25,0.225,-0.2015,456.7025,1.2067,113,30000,0.0,0.077,0.923,0.1124,1367.6388,0.7552,226,-10000,0.181,0.092,0.708,-0.0368,523.0734,1.0857,222
445,-10000,0.148,0.157,0.678,-0.0802,74.8515,0.724,158,-10000,0.177,0.068,0.749,-0.2015,456.7025,1.2067,113,30000,0.076,0.178,0.715,-0.2361,8811.4707,0.6827,228,-10000,0.0,0.071,0.929,-0.0368,523.0734,1.0857,222
446,-10000,0.147,0.157,0.678,-0.0802,74.8515,0.9105,158,-10000,0.0,0.0,1.0,-0.2015,456.7025,1.2067,113,-10000,0.076,0.178,0.714,-0.2361,8811.4707,0.6827,228,30000,0.24,0.255,0.223,-0.0368,523.0734,1.0857,222
447,-10000,0.147,0.157,0.678,-0.0802,74.8515,0.9105,158,30000,0.0,0.2,0.8,-0.2015,456.7025,1.2067,113,-10000,0.076,0.178,0.715,-0.2361,8811.4707,0.6874,228,-10000,0.181,0.092,0.708,-0.0368,523.0734,1.0857,222
448,30000,0.147,0.157,0.677,-0.0802,74.8515,0.9105,158,-10000,0.0,1.0,0.0,-0.2015,456.7025,1.2067,113,-10000,0.076,0.179,0.714,-6.1092,903.0276,0.6874,229,-10000,0.181,0.092,0.709,-56.9966,893.8994,1.2759,223
449,-10000,0.148,0.158,0.676,-0.0802,74.8515,1.3855,158,-10000,0.178,0.069,0.748,-0.2015,456.7025,0.9034,113,30000,0.077,0.179,0.713,-6.1092,903.0276,0.8839,229,-10000,0.0,0.0,1.0,-56.9966,893.8994,1.2759,223
450,-10000,0.148,0.158,0.676,-0.0802,74.8515,1.3855,158,30000,0.18,0.07,0.745,-0.1989,130.194,0.805,115,-10000,0.077,0.18,0.712,-6.1092,903.0276,0.6609,229,-10000,0.0,0.0,1.0,-56.9966,893.8994,1.2759,223
